Restaurant ID,Restaurant name,Order ID,Subtotal,Delivery fee,Total taxes,Total,Payment method,Fulfillment date (YYYY-MM-DD),Fulfillment time,Service fees on subtotal
402972,Boston Pizza,569543699,24.99,4.5,1.25,33.49,CARD,2022-09-16,20:25,2.75
402972,Boston Pizza,570423410,89.41,0,4.47,115.13,ONLINE,2022-09-18,11:48,9.84
402972,Boston Pizza,570934135,19.99,4.5,1,27.69,CARD,2022-09-19,13:11,2.2
402972,Boston Pizza,571062889,72.78,0,3.64,87.43,ONLINE,2022-09-19,19:02,8.01
402972,Boston Pizza,571074309,55.25,0,2.76,64.09,CARD,2022-09-19,19:36,6.08
402972,Boston Pizza,571931699,87.41,0,4.37,101.4,ONLINE,2022-09-21,20:43,9.62
402972,Boston Pizza,572323878,8.99,4.5,0.45,16.42,ONLINE,2022-09-22,17:26,0.99
402972,Boston Pizza,572392105,38.47,0,1.92,53.54,PayPal,2022-09-22,20:19,4.23
402972,Boston Pizza,572882755,70.33,0,3.52,93.01,ONLINE,2022-09-23,17:18,7.74
402972,Boston Pizza,572890212,47.26,0,2.36,64.69,ONLINE,2022-09-23,17:33,5.2
402972,Boston Pizza,572935874,22.29,4.5,1.11,34.9,PayPal,2022-09-23,18:27,2.45
402972,Boston Pizza,572961878,26.28,4.5,1.31,34.98,CASH,2022-09-23,19:21,2.89
402972,Boston Pizza,572972816,71.96,0,3.6,93.5,ONLINE,2022-09-23,19:35,7.92
402972,Boston Pizza,572980272,36.28,0,1.81,48.39,PayPal,2022-09-23,19:50,3.99
402972,Boston Pizza,573387874,24.99,4.5,1.25,40.19,ONLINE,2022-09-24,15:02,2.75
402972,Boston Pizza,573481911,53.15,0,2.66,64.66,ONLINE,2022-09-24,17:26,5.85
402972,Boston Pizza,573507863,63.53,0,3.18,81.07,ONLINE,2022-09-24,17:49,6.99
402972,Boston Pizza,573565377,24.95,4.5,1.25,39.12,ONLINE,2022-09-24,19:27,2.74
402972,Boston Pizza,573591680,42.46,0,2.12,53.68,ONLINE,2022-09-24,20:39,4.67
402972,Boston Pizza,573609027,56.24,0,2.81,65.24,CARD,2022-09-24,21:39,6.19
402972,Boston Pizza,574132119,16.59,4.5,0.83,23.74,CASH,2022-09-25,21:15,1.82
402972,Boston Pizza,574516301,67.95,0,3.4,78.82,CARD,2022-09-26,21:50,7.47
402972,Boston Pizza,574781917,45.26,0,2.26,52.5,CARD,2022-09-27,17:06,4.98
402972,Boston Pizza,574862688,46.76,0,2.34,60.75,ONLINE,2022-09-27,18:02,5.14
402972,Boston Pizza,574864665,57.23,0,2.86,66.39,ONLINE,2022-09-27,18:12,6.3
402972,Boston Pizza,575315679,75.54,0,3.78,100.63,PayPal,2022-09-28,19:12,8.31
402973,Edo Japan,553386971,40.95,0,2.05,47.5,CARD,2022-08-16,13:25,4.5
402973,Edo Japan,553498064,38.9,0,1.95,51.9,ONLINE,2022-08-16,17:25,4.28
402973,Edo Japan,553502503,38.45,0,1.92,49.06,PayPal,2022-08-16,17:37,4.23
402973,Edo Japan,553868396,12.5,4.5,0.63,19.01,ONLINE,2022-08-17,13:41,1.38
402973,Edo Japan,553952590,41.7,0,2.09,53.38,ONLINE,2022-08-17,16:49,4.59
402973,Edo Japan,554036124,14.1,4.5,0.71,20.86,CARD,2022-08-17,19:29,1.55
